X,Y,Z,S,I_Raw,I_Pro,I_DoG,N,Gain,X_in_px,Y_in_px,Z_in_px,X_um,Y_um,Z_um,X_abs_out_px,Y_abs_out_px,Z_abs_out_px,X_abs_in_px,Y_abs_in_px,Z_abs_in_px,X_abs_um,Y_abs_um,Z_abs_um,S_um,X_ref_in_px,Y_ref_in_px,Z_ref_in_px,X_ref_out_px,Y_ref_out_px,Z_ref_out_px,ID
34.0,52.0,32.0,4.0,1519.0,443.02497541294224,333.5513884536229,3.0,-0.1409695067388499,151.0,231.0,32.0,68.0,104.0,64.0,34.0,52.0,32.0,151.0,231.0,32.0,68.0,104.0,64.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,29
20.0,30.0,37.0,4.0,1715.0,639.0249754129422,459.504789857243,5.0,-0.1634185902204898,89.0,133.0,37.0,40.0,60.0,74.0,20.0,30.0,37.0,89.0,133.0,37.0,40.0,60.0,74.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,30
41.0,23.0,18.0,4.0,1730.0,654.0249754129422,437.852787026266,5.0,-0.19798204141804,182.0,102.0,18.0,82.0,46.0,36.0,41.0,23.0,18.0,182.0,102.0,18.0,82.0,46.0,36.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,31
42.0,18.0,53.0,4.0,1470.0,394.02497541294224,377.0659720190111,8.0,-0.0219935189881446,187.0,80.0,53.0,84.0,36.0,106.0,42.0,18.0,53.0,187.0,80.0,53.0,84.0,36.0,106.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,32
20.0,17.0,46.0,4.0,1724.0,648.0249754129422,541.1658474835039,4.0,-0.0898586886746801,89.0,76.0,46.0,40.0,34.0,92.0,20.0,17.0,46.0,89.0,76.0,46.0,40.0,34.0,92.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,33
16.0,41.0,23.0,5.0,1735.0,659.0249754129422,551.8053332129726,7.0,-0.0885505107000877,71.0,182.0,23.0,32.0,82.0,46.0,16.0,41.0,23.0,71.0,182.0,23.0,32.0,82.0,46.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,34
45.0,33.0,23.0,5.0,1663.0,587.0249754129422,510.3889676493013,6.0,-0.0698332732585795,200.0,147.0,23.0,90.0,66.0,46.0,45.0,33.0,23.0,200.0,147.0,23.0,90.0,66.0,46.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,35
26.0,33.0,29.0,5.0,2086.0,1010.0249754129422,1005.3850420790436,11.0,-0.0023022279802263,116.0,147.0,29.0,52.0,66.0,58.0,26.0,33.0,29.0,116.0,147.0,29.0,52.0,66.0,58.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,36
52.0,60.0,27.0,4.0,1338.0,320.1151184318229,255.04354029942928,3.0,-0.1131367443479606,231.0,267.0,27.0,104.0,120.0,54.0,52.0,113.0,27.0,231.0,503.0,27.0,104.0,226.0,54.0,8.0,0.0,236.0,0.0,0.0,53.0,0.0,79
43.0,17.0,31.0,4.0,1655.0,637.1151184318229,609.7652157516419,4.0,-0.0219346652043328,191.0,76.0,31.0,86.0,34.0,62.0,43.0,70.0,31.0,191.0,312.0,31.0,86.0,140.0,62.0,8.0,0.0,236.0,0.0,0.0,53.0,0.0,80
27.0,17.0,28.0,4.0,1873.0,855.1151184318229,592.1321870728979,3.0,-0.181712503701785,120.0,76.0,28.0,54.0,34.0,56.0,27.0,70.0,28.0,120.0,312.0,28.0,54.0,140.0,56.0,8.0,0.0,236.0,0.0,0.0,53.0,0.0,81
25.0,31.0,34.0,5.0,1779.0,761.1151184318229,728.5885249293966,8.0,-0.0218342712977706,111.0,138.0,34.0,50.0,62.0,68.0,25.0,84.0,34.0,111.0,374.0,34.0,50.0,168.0,68.0,10.0,0.0,236.0,0.0,0.0,53.0,0.0,82
48.0,29.0,46.0,5.0,1845.0,827.1151184318229,591.1640707750596,6.0,-0.1663643163154003,213.0,129.0,46.0,96.0,58.0,92.0,48.0,82.0,46.0,213.0,365.0,46.0,96.0,164.0,92.0,10.0,0.0,236.0,0.0,0.0,53.0,0.0,83
24.0,28.0,46.0,5.0,1625.0,607.1151184318229,504.8288240471021,4.0,-0.0919887149676698,107.0,124.0,46.0,48.0,56.0,92.0,24.0,81.0,46.0,107.0,360.0,46.0,48.0,162.0,92.0,10.0,0.0,236.0,0.0,0.0,53.0,0.0,84
26.0,16.0,38.0,5.0,1869.0,851.1151184318229,650.4475096295772,7.0,-0.1336391869723866,116.0,71.0,38.0,52.0,32.0,76.0,26.0,69.0,38.0,116.0,307.0,38.0,52.0,138.0,76.0,10.0,0.0,236.0,0.0,0.0,53.0,0.0,85
24.0,49.0,19.0,5.0,2349.0,1347.9440765325617,1151.7697760831934,11.0,-0.0784787027699539,107.0,218.0,19.0,48.0,98.0,38.0,78.0,49.0,19.0,347.0,218.0,19.0,156.0,98.0,38.0,10.0,240.0,0.0,0.0,54.0,0.0,0.0,143
26.0,48.0,33.0,5.0,1834.0,832.9440765325616,743.13020409994,6.0,-0.0569858118594372,116.0,213.0,33.0,52.0,96.0,66.0,80.0,48.0,33.0,356.0,213.0,33.0,160.0,96.0,66.0,10.0,240.0,0.0,0.0,54.0,0.0,0.0,144
53.0,47.0,26.0,5.0,1789.0,787.9440765325616,597.3276127545311,6.0,-0.1376022229084376,236.0,209.0,26.0,106.0,94.0,52.0,107.0,47.0,26.0,476.0,209.0,26.0,214.0,94.0,52.0,10.0,240.0,0.0,0.0,54.0,0.0,0.0,145
28.0,34.0,26.0,5.0,1739.0,737.9440765325616,692.1305288929111,7.0,-0.0320357745433987,124.0,151.0,26.0,56.0,68.0,52.0,82.0,34.0,26.0,364.0,151.0,26.0,164.0,68.0,52.0,10.0,240.0,0.0,0.0,54.0,0.0,0.0,147
45.0,32.0,36.0,5.0,1990.0,988.9440765325616,1002.6574290244154,7.0,0.0068855905428825,200.0,142.0,36.0,90.0,64.0,72.0,99.0,32.0,36.0,440.0,142.0,36.0,198.0,64.0,72.0,10.0,240.0,0.0,0.0,54.0,0.0,0.0,148
36.0,60.0,37.0,4.0,1609.0,408.8345357307694,342.33099862483084,3.0,-0.0885337972315113,160.0,267.0,37.0,72.0,120.0,74.0,90.0,113.0,37.0,400.0,503.0,37.0,180.0,226.0,74.0,8.0,240.0,236.0,0.0,54.0,53.0,0.0,197
37.0,58.0,47.0,4.0,1945.0,744.8345357307694,670.5888129081071,7.0,-0.0524547817400777,164.0,258.0,47.0,74.0,116.0,94.0,91.0,111.0,47.0,404.0,494.0,47.0,182.0,222.0,94.0,8.0,240.0,236.0,0.0,54.0,53.0,0.0,198
43.0,50.0,28.0,4.0,2171.0,970.8345357307694,710.5115330285303,6.0,-0.1548301135258471,191.0,222.0,28.0,86.0,100.0,56.0,97.0,103.0,28.0,431.0,458.0,28.0,194.0,206.0,56.0,8.0,240.0,236.0,0.0,54.0,53.0,0.0,199
34.0,45.0,30.0,4.0,1856.0,655.8345357307694,614.1303715806237,7.0,-0.0328388319315345,151.0,200.0,30.0,68.0,90.0,60.0,88.0,98.0,30.0,391.0,436.0,30.0,176.0,196.0,60.0,8.0,240.0,236.0,0.0,54.0,53.0,0.0,200
18.0,43.0,31.0,4.0,1964.0,763.8345357307694,649.7078944459789,8.0,-0.0807380371811832,80.0,191.0,31.0,36.0,86.0,62.0,72.0,96.0,31.0,320.0,427.0,31.0,144.0,192.0,62.0,8.0,240.0,236.0,0.0,54.0,53.0,0.0,201
42.0,37.0,26.0,4.0,1984.0,783.8345357307694,546.8697391563205,4.0,-0.1780747240738783,187.0,164.0,26.0,84.0,74.0,52.0,96.0,90.0,26.0,427.0,400.0,26.0,192.0,180.0,52.0,8.0,240.0,236.0,0.0,54.0,53.0,0.0,202
55.0,59.0,27.0,5.0,1908.0,707.8345357307694,552.2180325358131,6.0,-0.1235000087409316,244.0,262.0,27.0,110.0,118.0,54.0,109.0,112.0,27.0,484.0,498.0,27.0,218.0,224.0,54.0,10.0,240.0,236.0,0.0,54.0,53.0,0.0,203
19.0,32.0,20.0,5.0,1724.0,523.8345357307694,446.8907948668717,5.0,-0.0792641733336928,84.0,142.0,20.0,38.0,64.0,40.0,73.0,85.0,20.0,324.0,378.0,20.0,146.0,170.0,40.0,10.0,240.0,236.0,0.0,54.0,53.0,0.0,204
32.0,23.0,45.0,5.0,2180.0,979.8345357307694,927.9820578997064,5.0,-0.0271789636405197,142.0,102.0,45.0,64.0,46.0,90.0,86.0,76.0,45.0,382.0,338.0,45.0,172.0,152.0,90.0,10.0,240.0,236.0,0.0,54.0,53.0,0.0,205
28.0,22.0,26.0,5.0,2036.0,835.8345357307694,836.8231320683476,8.0,0.0005910332739388,124.0,98.0,26.0,56.0,44.0,52.0,82.0,75.0,26.0,364.0,334.0,26.0,164.0,150.0,52.0,10.0,240.0,236.0,0.0,54.0,53.0,0.0,206
45.0,20.0,49.0,5.0,2249.0,1048.8345357307694,984.404624695952,7.0,-0.0316883091221277,200.0,89.0,49.0,90.0,40.0,98.0,99.0,73.0,49.0,440.0,325.0,49.0,198.0,146.0,98.0,10.0,240.0,236.0,0.0,54.0,53.0,0.0,207
36.0,15.0,41.0,5.0,2254.0,1053.8345357307694,1063.5768871898042,8.0,0.0046010668279086,160.0,67.0,41.0,72.0,30.0,82.0,90.0,68.0,41.0,400.0,303.0,41.0,180.0,136.0,82.0,10.0,240.0,236.0,0.0,54.0,53.0,0.0,208
48.0,38.0,30.0,6.0,2200.0,999.8345357307694,789.5489945496353,11.0,-0.1175184289017019,213.0,169.0,30.0,96.0,76.0,60.0,102.0,91.0,30.0,453.0,405.0,30.0,204.0,182.0,60.0,12.0,240.0,236.0,0.0,54.0,53.0,0.0,209
49.0,51.0,17.0,5.0,2414.0,1226.5145190007172,988.4061711328718,8.0,-0.1075019746433829,218.0,227.0,17.0,98.0,102.0,34.0,49.0,104.0,72.0,218.0,463.0,72.0,98.0,208.0,144.0,10.0,0.0,236.0,55.0,0.0,53.0,55.0,240
43.0,39.0,21.0,5.0,2009.0,821.5145190007172,736.1668744008625,9.0,-0.0547914643914935,191.0,173.0,21.0,86.0,78.0,42.0,43.0,92.0,76.0,191.0,409.0,76.0,86.0,184.0,152.0,10.0,0.0,236.0,55.0,0.0,53.0,55.0,241
27.0,15.0,16.0,5.0,2489.0,1301.5145190007172,1178.7515860203716,10.0,-0.04949587172595,120.0,67.0,16.0,54.0,30.0,32.0,27.0,68.0,71.0,120.0,303.0,71.0,54.0,136.0,142.0,10.0,0.0,236.0,55.0,0.0,53.0,55.0,242
6.0,43.0,9.0,4.0,1424.0,577.6999601139258,446.8938079600114,4.0,-0.1276663554179212,27.0,191.0,9.0,12.0,86.0,18.0,6.0,43.0,64.0,27.0,191.0,64.0,12.0,86.0,128.0,8.0,0.0,0.0,55.0,0.0,0.0,55.0,388
14.0,10.0,47.0,5.0,1406.0,388.1151184318229,371.1597443747797,8.0,-0.0223310093453758,62.0,44.0,47.0,28.0,20.0,94.0,14.0,63.0,47.0,62.0,280.0,47.0,28.0,126.0,94.0,10.0,0.0,236.0,0.0,0.0,53.0,0.0,394
31.0,6.0,33.0,5.0,1734.0,716.1151184318229,562.9020766885453,4.0,-0.1197896653210035,138.0,27.0,33.0,62.0,12.0,66.0,31.0,59.0,33.0,138.0,263.0,33.0,62.0,118.0,66.0,10.0,0.0,236.0,0.0,0.0,53.0,0.0,395
51.0,49.0,8.0,4.0,1904.0,828.0249754129422,691.4325073980558,7.0,-0.0898955512477981,227.0,218.0,8.0,102.0,98.0,16.0,51.0,49.0,8.0,227.0,218.0,8.0,102.0,98.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,396
14.0,49.0,46.0,4.0,1519.0,443.02497541294224,362.27693637109496,6.0,-0.100270517007666,62.0,218.0,46.0,28.0,98.0,92.0,14.0,49.0,46.0,62.0,218.0,46.0,28.0,98.0,92.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,397
17.0,48.0,58.0,4.0,1948.0,872.0249754129422,650.6589667770991,7.0,-0.1453788291202818,76.0,213.0,58.0,34.0,96.0,116.0,17.0,48.0,58.0,76.0,213.0,58.0,34.0,96.0,116.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,398
41.0,47.0,9.0,4.0,1580.0,504.02497541294224,473.8020791852649,6.0,-0.0309082225589432,182.0,209.0,9.0,82.0,94.0,18.0,41.0,47.0,9.0,182.0,209.0,9.0,82.0,94.0,18.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,399
20.0,46.0,14.0,4.0,1607.0,531.0249754129422,430.9175434169099,5.0,-0.1040679978652022,89.0,204.0,14.0,40.0,92.0,28.0,20.0,46.0,14.0,89.0,204.0,14.0,40.0,92.0,28.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,400
4.0,43.0,22.0,4.0,1826.0,750.0249754129422,716.684667185255,4.0,-0.0227313622678764,18.0,191.0,22.0,8.0,86.0,44.0,4.0,43.0,22.0,18.0,191.0,22.0,8.0,86.0,44.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,401
8.0,41.0,23.0,5.0,1542.0,540.9440765325616,542.2831228699075,7.0,0.0012361638796409,36.0,182.0,23.0,16.0,82.0,46.0,62.0,41.0,23.0,276.0,182.0,23.0,124.0,82.0,46.0,10.0,240.0,0.0,0.0,54.0,0.0,0.0,402
7.0,39.0,48.0,4.0,1728.0,652.0249754129422,515.7923957919843,3.0,-0.1166557228724868,31.0,173.0,48.0,14.0,78.0,96.0,7.0,39.0,48.0,31.0,173.0,48.0,14.0,78.0,96.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,403
31.0,17.0,13.0,4.0,2359.0,1283.0249754129422,1151.2355461673874,8.0,-0.0541394103372291,138.0,76.0,13.0,62.0,34.0,26.0,31.0,17.0,13.0,138.0,76.0,13.0,62.0,34.0,26.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,404
21.0,13.0,17.0,4.0,2272.0,1196.0249754129422,686.17720522513,3.0,-0.2708783229732378,93.0,58.0,17.0,42.0,26.0,34.0,21.0,13.0,17.0,93.0,58.0,17.0,42.0,26.0,34.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,405
10.0,13.0,34.0,4.0,1549.0,473.02497541294224,390.7027457526476,6.0,-0.095310394286294,44.0,58.0,34.0,20.0,26.0,68.0,10.0,13.0,34.0,44.0,58.0,34.0,20.0,26.0,68.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,406
25.0,10.0,52.0,4.0,1402.0,326.02497541294224,318.5308999926353,3.0,-0.0116267273424377,111.0,44.0,52.0,50.0,20.0,104.0,25.0,10.0,52.0,111.0,44.0,52.0,50.0,20.0,104.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,407
18.0,6.0,8.0,4.0,1884.0,808.0249754129422,489.3255898781188,3.0,-0.2456540229458513,80.0,27.0,8.0,36.0,12.0,16.0,18.0,6.0,8.0,80.0,27.0,8.0,36.0,12.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,408
30.0,4.0,6.0,4.0,2222.0,1146.0249754129422,963.9719163480448,3.0,-0.0862811977476219,133.0,18.0,6.0,60.0,8.0,12.0,30.0,4.0,6.0,133.0,18.0,6.0,60.0,8.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,409
22.0,55.0,58.0,5.0,1986.0,910.0249754129422,806.4296045211163,5.0,-0.060354274504488,98.0,244.0,58.0,44.0,110.0,116.0,22.0,55.0,58.0,98.0,244.0,58.0,44.0,110.0,116.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,410
20.0,55.0,29.0,5.0,1718.0,642.0249754129422,637.3557247377325,7.0,-0.0036496178773525,89.0,244.0,29.0,40.0,110.0,58.0,20.0,55.0,29.0,89.0,244.0,29.0,40.0,110.0,58.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,411
11.0,34.0,38.0,5.0,2447.0,1371.0249754129422,1207.7913669712975,8.0,-0.0632978804107962,49.0,151.0,38.0,22.0,68.0,76.0,11.0,34.0,38.0,49.0,151.0,38.0,22.0,68.0,76.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,412
43.0,33.0,11.0,5.0,1744.0,668.0249754129422,502.8612044586641,5.0,-0.1410587756466552,191.0,147.0,11.0,86.0,66.0,22.0,43.0,33.0,11.0,191.0,147.0,11.0,86.0,66.0,22.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,413
7.0,24.0,5.0,5.0,1755.0,679.0249754129422,604.4430124987248,4.0,-0.0581097180581573,31.0,107.0,5.0,14.0,48.0,10.0,7.0,24.0,5.0,31.0,107.0,5.0,14.0,48.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,414
40.0,23.0,9.0,5.0,1965.0,889.0249754129422,728.2831816138819,6.0,-0.0993884765254382,178.0,102.0,9.0,80.0,46.0,18.0,40.0,23.0,9.0,178.0,102.0,9.0,80.0,46.0,18.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,415
53.0,20.0,5.0,5.0,2076.0,1000.0249754129422,962.7655113455296,5.0,-0.0189829043490761,236.0,89.0,5.0,106.0,40.0,10.0,53.0,20.0,5.0,236.0,89.0,5.0,106.0,40.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,416
13.0,19.0,22.0,5.0,2471.0,1395.0249754129422,1155.109003113483,8.0,-0.0940797520129091,58.0,84.0,22.0,26.0,38.0,44.0,13.0,19.0,22.0,58.0,84.0,22.0,26.0,38.0,44.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,417
13.0,13.0,48.0,5.0,1800.0,724.0249754129422,666.9544477892764,8.0,-0.0410290236301856,58.0,58.0,48.0,26.0,26.0,96.0,13.0,13.0,48.0,58.0,58.0,48.0,26.0,26.0,96.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,418
6.0,8.0,6.0,5.0,1801.0,799.9440765325616,844.5694244828522,8.0,0.0271358963746643,27.0,36.0,6.0,12.0,16.0,12.0,60.0,8.0,6.0,267.0,36.0,6.0,120.0,16.0,12.0,10.0,240.0,0.0,0.0,54.0,0.0,0.0,419
7.0,55.0,25.0,6.0,935.0,212.89634998173585,149.48468002426898,8.0,-0.1749861739628481,31.0,244.0,25.0,14.0,110.0,50.0,61.0,55.0,80.0,271.0,244.0,80.0,122.0,110.0,160.0,12.0,240.0,0.0,55.0,54.0,0.0,55.0,582
9.0,54.0,20.0,4.0,1829.0,982.6999601139258,794.0077137486331,4.0,-0.1062033159090691,40.0,240.0,20.0,18.0,108.0,40.0,9.0,54.0,75.0,40.0,240.0,75.0,18.0,108.0,150.0,8.0,0.0,0.0,55.0,0.0,0.0,55.0,583
5.0,60.0,28.0,5.0,1597.0,750.6999601139258,661.2217825998147,5.0,-0.0633733264438101,22.0,267.0,28.0,10.0,120.0,56.0,5.0,60.0,83.0,22.0,267.0,83.0,10.0,120.0,166.0,10.0,0.0,0.0,55.0,0.0,0.0,55.0,584
9.0,34.0,60.0,4.0,1958.0,940.1151184318228,864.1695019294319,7.0,-0.0420918161388446,40.0,151.0,60.0,18.0,68.0,120.0,9.0,87.0,60.0,40.0,387.0,60.0,18.0,174.0,120.0,8.0,0.0,236.0,0.0,0.0,53.0,0.0,692
61.0,33.0,47.0,4.0,1465.0,447.1151184318229,233.0279338921888,3.0,-0.3147678768578315,271.0,147.0,47.0,122.0,66.0,94.0,61.0,86.0,47.0,271.0,383.0,47.0,122.0,172.0,94.0,8.0,0.0,236.0,0.0,0.0,53.0,0.0,693
